,imd,ptai,imd_sc,ptai_sc,cluster
count,4835.0,4835.0,4835.0,4835.0,4835.0
mean,21.498676318510856,11.748952629265771,-0.0023439959911812774,0.0006618629490499856,2.140227507755946
std,10.904650800800042,10.128084784550992,0.7461618110912716,0.8744442236489968,1.4205569885013232
min,2.3,0.0939535,-1.4251968503937007,-1.5879048607646504,0.0
25%,12.4,5.1490100000000005,-0.6299212598425196,-0.6552183366150739,1.0
50%,20.4,8.70022,0.0,0.0,2.0
75%,29.6,15.023150000000001,0.5644171779141105,0.430364333339686,3.0
max,64.7,89.8848,2.717791411042944,5.525752720520772,4.0
